,coursetext
4521,"PETE 4086 Well Design-Drilling (3)
Prereq.: PETE 4045. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Design of drilling operations; bit selection and evaluation; mathematical modeling of bitwear and penetration rate; determination of formation pore pressure and fracture pressure; selection of well casing and casing setting depths; directional drilling; special design considerations for horizontal wells."
4522,"PETE 4087 Environmental Control in Petroleum Engineering (3)
Prereq.: PETE 3050 and credit or registration in PETE 4045. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Environmental impact and pollution mechanisms in petroleum engineering technologies; basic concepts regarding oilfield waste generation, toxicity and environmental regulatory process; synergy between process productivity and environmental performance."
4523,"PETE 4088 Formation Evaluation (3)
Prereq.: PETE 3036. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Use of different formation evaluation techniques to provide a comprehensive description of reservoir content producibility; drilling fluid and cutting analysis; core analysis; formation tester; drillstem test; analysis of openhole logs by overlay, crossplot and digital evaluation methods."
4524,"PETE 4089 Natural Gas Engineering (3)
Prereq.: PETE 3050. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Application of reservoir engineering principles and practices to gas and gas-condensate reservoirs; prediction of gas well performance; management of all types of gas reservoirs; underground gas storage."
4525,"PETE 4090 Unconventional Reservoirs (3)
Prereq.: CE 3400 or consent of instructor. Drilling, completion, production and reservoir evaluation of unconventional reservoirs; case studies."
4526,"PETE 4145 Directional Drilling (3)
Prereq.: PETE 4045 or consent of instructor. Directional drilling design and well trajectory planning and analysis."
4527,"PETE 4161 Petroleum Engineering Applications of Data Analytics (3)
Prereq.: PETE 3061 or consent of instructor. Fundamentals of data, statistics, and various relevant data mining algorithms applied to petroleum engineering problems."
4528,"PETE 4190 Shale Reservoir Engineering and Evaluation (3)
Prereq.: PETE 3050 or consent of instructor. Understanding the challenges specific to shale reservoir performance and recovery. Play quality estimation; operational aspects; reserve estimation; decline curve and rate transient analysis techniques."
4529,"PETE 4241 Special Topics in Petroleum Engineering Design (3)
Prereq.: senior or graduate standing and permission of instructor. May be taken for a max. of 6 hrs. credit when topics vary. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. One or more phases of current petroleum engineering design."
4530,"PETE 4998 Senior Project I (1)
Prereq.: ENGL 2000 and credit or registration in PETE 4047 and credit or registration in PETE 4051. Written and oral presentation required.  First phase of theoretical and/or experimental investigations of an approved topic in petroleum engineering."
4531,"PETE 4999 Senior Project II (1)
Prereq.: PETE 4998 and senior standing in the College of Engineering. Written and oral presentation required. Registration in this course is restricted to students admitted to both the College of Engineering and the Petroleum Engineering major. Theoretical and/or experimental investigation, including a literature review of an approved topic in petroleum engineering."
4532,"PETE 7195 Reservoir Characterization (3)
See GEOL 7195."
4533,"PETE 7201 Fluid Flow in Porous Media (3)
Prereq.: PETE 3050 and PETE 4056 or equivalent. General hydrodynamic equations for flow of fluids through porous media; two-dimensional flow problems and potential theory methods; gravity flow systems; two-fluid systems; systems of nonuniform permeability; multiple well systems using computerized streamline tracking methods."
4534,"PETE 7202 Advanced Well Testing Theory and Analysis (3)
Prereq.: PETE 3050 and PETE 4051 or equivalent.  Unsteady-state flow of reservoir fluids in porous media; application of theory to pressure buildup analysis, well interference testing, pulse testing, pressure draw down analysis, drill stem testing and water influx prediction."
4535,"PETE 7211 Production System Analysis (3)
Prereq.: CE 2200, ME 3333, and PETE 4046 or equivalent. Use of multiphase flow correlations to determine flow rates and pressure traverses in flowing oil wells, gas-condensate wells, gathering systems and pipe lines; applications of correlations to the design of gas lift systems."
4536,"PETE 7212 Well Completion Design (3)
Prereq.: PETE 4046 or consent of instructor. Systems analysis for optimum production by designing best combination of tubing, flow lines, choke sizes, perforation density and separator pressure; inflow performance of reservoirs; well completion techniques; gravel packing; tubing effects."
4537,"PETE 7214 Petroleum Geomechanics (3)
Prereq.: permission of instructor. Fundamentals of rock mechanics; theory of elasticity and failure mechanics; borehole stresses and acoustic wave propagation; poroelasticity theory and applications including borehole stability, sand production, hydraulic fracturing, reservoir compaction and/or subsidence."
4538,"PETE 7231 Nonthermal Methods of Enhanced Oil Recovery (3)
Theory and field practice related to miscible displacement processes and chemical and polymer flooding techniques."
4539,"PETE 7232 Thermal Methods of Oil Recovery (3)
Theory of heat transfer and heat generation applied to the performance prediction of oil recovery by such field processes as forward and reverse in situ combustion, continuous and cyclic hot fluid injection, and production well heating."
4540,"PETE 7241 Selected Topics in Advanced Petroleum Engineering (3)
May be repeated for credit when topic varies; a total of 12 sem. hrs. of credit may be earned in this course."
4541,"PETE 7242 Selected Topics in Advanced Petroleum Engineering (3)
May be repeated for credit when topic varies; a total of 12 sem. hrs. of credit may be earned in this course."
4542,"PETE 7256 Special Problems in Petroleum Engineering (1-6)
May be taken for a max. of 6 sem. hrs. of credit. Individual study and research."
4543,"PETE 7280 Mathematical Simulation of Petroleum Reservoir Performance (3)
Prereq.: PETE 4056 or equivalent and PETE 3050 and PETE 4051 or equivalent. Development and application of mathematical models for predicting petroleum reservoir performance, including multiphase fluid flow in three dimensions."
